"Date","Price","Open","High","Low","Vol.","Change %"
"14-03-2024","55.95","55.55","56.25","55.55","123.38K","0.54%"
"13-03-2024","55.65","55.95","56.00","55.55","113.67K","-0.80%"
"12-03-2024","56.10","56.50","56.65","56.00","1.73M","-0.44%"
"11-03-2024","56.35","55.75","56.40","55.70","217.31K","1.35%"
"07-03-2024","55.60","55.25","55.75","55.20","191.25K","1.00%"
"06-03-2024","55.05","55.05","55.10","54.65","203.67K","0.46%"
"05-03-2024","54.80","54.40","55.00","54.40","233.23K","1.20%"
"04-03-2024","54.15","53.75","54.30","53.70","73.31K","0.56%"
"02-03-2024","53.85","53.70","53.85","53.60","55.20K","1.41%"
"01-03-2024","53.10","53.15","53.35","53.00","88.51K","0.19%"
"29-02-2024","53.00","52.80","53.30","52.80","61.19K","0.47%"
"28-02-2024","52.75","53.00","53.00","52.70","38.17K","-0.47%"
"27-02-2024","53.00","53.05","53.05","52.80","51.54K","0.28%"
"26-02-2024","52.85","52.70","53.00","52.50","63.82K","0.38%"
"23-02-2024","52.65","53.00","53.00","52.55","150.95K","-0.47%"
"22-02-2024","52.90","52.90","53.00","52.80","49.25K","0.19%"
"21-02-2024","52.80","52.70","53.00","52.70","70.99K","0.19%"
"20-02-2024","52.70","52.95","52.95","52.65","138.49K","-0.28%"
"19-02-2024","52.85","52.75","53.00","52.75","49.00K","0.48%"
"16-02-2024","52.60","52.30","52.65","52.30","130.41K","0.57%"
"15-02-2024","52.30","52.40","52.60","52.20","69.98K","-0.19%"
"14-02-2024","52.40","52.55","52.65","52.25","93.18K","-1.13%"
"13-02-2024","53.00","53.05","53.10","52.90","27.47K","-0.09%"
"12-02-2024","53.05","53.25","53.25","52.70","118.63K","-0.28%"
"09-02-2024","53.20","53.25","53.45","53.15","52.80K","-0.09%"
"08-02-2024","53.25","53.30","53.40","53.15","77.37K","0.00%"
"07-02-2024","53.25","53.55","53.55","53.20","87.10K","0.19%"
"06-02-2024","53.15","53.40","53.40","53.05","49.25K","0.09%"
"05-02-2024","53.10","53.55","53.90","53.05","83.17K","-0.93%"
"02-02-2024","53.60","53.90","53.95","53.55","145.42K","0.09%"
"01-02-2024","53.55","53.65","53.65","53.25","104.11K","0.47%"
"31-01-2024","53.30","53.50","53.60","53.20","33.47K","0.00%"
"30-01-2024","53.30","53.40","53.40","53.10","135.05K","0.09%"
"29-01-2024","53.25","52.70","53.35","52.70","129.71K","0.57%"
