Date,Price,Open,High,Low,Vol.,Change %
31-10-2023,52.2,52.15,52.35,52,1.54M,0.10%
01-11-2023,51.8,51.95,51.95,51.2,100.36K,-0.77%
02-11-2023,51.9,52.6,52.6,51.75,42.22K,0.19%
03-11-2023,51.95,51.95,52.1,51.85,72.23K,0.10%
06-11-2023,52.05,52.05,52.1,51.6,79.32K,0.19%
07-11-2023,51.65,51.85,52,51.55,47.43K,-0.77%
08-11-2023,51.6,51.95,51.95,51.3,27.68K,-0.10%
09-11-2023,51.1,51.4,51.4,51.05,67.92K,-0.97%
10-11-2023,51.5,51.5,52.8,51.4,156.40K,0.78%
12-11-2023,51.35,54.5,54.5,51.25,129.96K,-0.29%
13-11-2023,51.05,51.7,51.7,51,95.31K,-0.58%
15-11-2023,51.75,51.6,51.8,51.3,116.58K,1.37%
16-11-2023,51.45,51.7,51.7,51.4,658.77K,-0.58%
17-11-2023,52.05,52.95,52.95,51.7,114.27K,1.17%
20-11-2023,52,52.05,52.05,51.7,77.98K,-0.10%
21-11-2023,52.2,52.35,52.55,52.05,52.64K,0.38%
22-11-2023,52.45,52.3,52.5,52.25,171.36K,0.48%
23-11-2023,52.25,52.35,52.55,52.05,60.75K,-0.38%
24-11-2023,52.3,52.25,52.4,52.15,46.06K,0.10%
28-11-2023,52.55,52.8,52.8,52.45,80.93K,0.48%
29-11-2023,53.35,53,53.4,52.95,110.92K,1.52%
30-11-2023,53.45,53.45,53.55,53.2,162.66K,0.19%
01-12-2023,53.45,53.65,53.65,53.2,71.07K,0.00%
04-12-2023,54.05,53.7,55.45,53.65,131.88K,1.12%
05-12-2023,53.25,53.7,53.75,53.05,80.37K,-1.48%
06-12-2023,53,54.85,54.85,52.9,119.32K,-0.47%
07-12-2023,53.1,52.6,53.4,52.6,208.91K,0.19%
08-12-2023,53.25,53.3,53.3,53.1,55.46K,0.28%
11-12-2023,52.35,52.95,52.95,52.25,109.98K,-1.69%
12-12-2023,52.2,52.25,52.3,52,105.81K,-0.29%
13-12-2023,52.05,52.4,52.4,52,46.55K,-0.29%
14-12-2023,53.05,53.2,53.2,52.55,87.52K,1.92%
15-12-2023,53,53.1,53.25,52.95,52.95K,-0.09%
18-12-2023,52.8,52.7,52.85,52.55,125.01K,-0.38%
19-12-2023,52.8,52.95,53,52.65,56.14K,0.00%
20-12-2023,53.05,53.2,53.25,53,119.94K,0.47%
21-12-2023,53.05,53.1,53.2,53,53.19K,0.00%
22-12-2023,53.35,54.65,54.65,53.15,120.19K,0.57%
26-12-2023,53.6,53.9,53.9,53.5,122.53K,0.47%
27-12-2023,53.75,53.6,53.9,53.45,69.99K,0.28%
28-12-2023,54,54,54.5,53.95,156.65K,0.47%
29-12-2023,53.85,53.95,54.15,53.55,67.96K,-0.28%
01-01-2024,54,53.95,54.05,53.5,82.01K,0.28%
02-01-2024,54.1,54.1,54.2,54,81.85K,0.19%
03-01-2024,53.75,54,54.1,53.65,68.82K,-0.65%
04-01-2024,53.6,53.75,53.75,53.25,89.93K,-0.28%
05-01-2024,53.4,53.75,53.8,53.25,122.11K,-0.37%
08-01-2024,53.1,53.4,53.65,53,572.86K,-0.56%
09-01-2024,53.25,53.25,53.3,53.05,30.81K,0.28%
10-01-2024,53.25,53.3,53.3,53,87.16K,0.00%
11-01-2024,53,53.6,53.6,52.9,26.34K,-0.47%
12-01-2024,53.3,53.6,53.6,52.95,84.44K,0.57%
15-01-2024,53.5,53.7,53.7,53.35,78.30K,0.38%
16-01-2024,53.25,53.5,53.55,53.2,47.44K,-0.47%
17-01-2024,52.9,53.15,53.2,52.8,57.79K,-0.66%
18-01-2024,52.85,52.7,52.9,52.45,49.28K,-0.09%
19-01-2024,53,52.85,53.15,52.8,133.26K,0.28%
20-01-2024,53,53.15,53.25,52.95,44.34K,0.00%
23-01-2024,53.25,53.1,53.3,52.9,71.79K,0.47%
24-01-2024,53.05,53.25,53.25,52.95,62.90K,-0.38%
25-01-2024,52.95,52.95,53.15,52.85,40.34K,-0.19%
29-01-2024,53.25,52.7,53.35,52.7,129.71K,0.57%
30-01-2024,53.3,53.4,53.4,53.1,135.05K,0.09%
31-01-2024,53.3,53.5,53.6,53.2,33.47K,0.00%
01-02-2024,53.55,53.65,53.65,53.25,104.11K,0.47%
02-02-2024,53.6,53.9,53.95,53.55,145.42K,0.09%
05-02-2024,53.1,53.55,53.9,53.05,83.17K,-0.93%
06-02-2024,53.15,53.4,53.4,53.05,49.25K,0.09%
07-02-2024,53.25,53.55,53.55,53.2,87.10K,0.19%
08-02-2024,53.25,53.3,53.4,53.15,77.37K,0.00%
09-02-2024,53.2,53.25,53.45,53.15,52.80K,-0.09%
12-02-2024,53.05,53.25,53.25,52.7,118.63K,-0.28%
13-02-2024,53,53.05,53.1,52.9,27.47K,-0.09%
14-02-2024,52.4,52.55,52.65,52.25,93.18K,-1.13%
15-02-2024,52.3,52.4,52.6,52.2,69.98K,-0.19%
16-02-2024,52.6,52.3,52.65,52.3,130.41K,0.57%
19-02-2024,52.85,52.75,53,52.75,49.00K,0.48%
20-02-2024,52.7,52.95,52.95,52.65,138.49K,-0.28%
21-02-2024,52.8,52.7,53,52.7,70.99K,0.19%
22-02-2024,52.9,52.9,53,52.8,49.25K,0.19%
23-02-2024,52.65,53,53,52.55,150.95K,-0.47%
26-02-2024,52.85,52.7,53,52.5,63.82K,0.38%
27-02-2024,53,53.05,53.05,52.8,51.54K,0.28%
28-02-2024,52.75,53,53,52.7,38.17K,-0.47%
29-02-2024,53,52.8,53.3,52.8,61.19K,0.47%
01-03-2024,53.1,53.15,53.35,53,88.51K,0.19%
02-03-2024,53.85,53.7,53.85,53.6,55.20K,1.41%
04-03-2024,54.15,53.75,54.3,53.7,73.31K,0.56%
05-03-2024,54.8,54.4,55,54.4,233.23K,1.20%
06-03-2024,55.05,55.05,55.1,54.65,203.67K,0.46%
07-03-2024,55.6,55.25,55.75,55.2,191.25K,1.00%
11-03-2024,56.35,55.75,56.4,55.7,217.31K,1.35%
12-03-2024,56.1,56.5,56.65,56,1.73M,-0.44%
13-03-2024,55.65,55.95,56,55.55,113.67K,-0.80%
14-03-2024,55.95,55.55,56.25,55.55,123.38K,0.54%
15-03-2024,55.8,56,56.1,55.75,100.83K,-0.27%
18-03-2024,55.8,55.65,55.8,55.15,168.21K,0.00%
19-03-2024,55.9,55.8,56,55.65,76.04K,0.18%
20-03-2024,55.95,56,56,55.8,65.17K,0.09%
21-03-2024,56.8,57.65,57.65,56.45,433.50K,1.52%
22-03-2024,56.15,55.8,56.65,55.8,71.20K,-1.14%
26-03-2024,56.45,56.15,56.5,56,56.93K,0.53%
27-03-2024,56.5,56.35,56.75,56.1,276.86K,0.09%
